iter	MultiClass
134	1.109270719
135	1.109172088
136	1.109122514
137	1.109034704
138	1.108971864
139	1.108887353
140	1.108787845
141	1.10869376
142	1.10863116
143	1.108572375
144	1.108508333
145	1.108300168
146	1.1081789
147	1.108049591
148	1.10793593
149	1.107877834
150	1.107800559
151	1.107729453
152	1.10759859
153	1.107468368
154	1.107345604
155	1.10725308
156	1.107142992
157	1.107102032
158	1.107016661
159	1.106949896
160	1.106850825
161	1.106804212
162	1.106768633
163	1.106638681
164	1.10652673
165	1.106476049
166	1.106383347
167	1.106279691
168	1.10621152
169	1.106121112
170	1.106069131
171	1.105959814
172	1.105910835
173	1.10586975
174	1.105829971
175	1.10575632
176	1.105676405
177	1.105548305
178	1.105465663
179	1.105398237
180	1.10532035
181	1.105225287
182	1.105140545
183	1.105040792
184	1.104974556
185	1.10494994
186	1.104877893
187	1.104786134
188	1.104712018
189	1.104669786
190	1.104631254
191	1.104486237
192	1.104446453
193	1.104408656
194	1.104228845
195	1.104142249
196	1.104106038
197	1.104012458
198	1.10398113
199	1.103924619
200	1.103836402
201	1.103766393
202	1.103690963
203	1.103631268
204	1.103548522
205	1.103497394
206	1.103454664
207	1.10342944
208	1.103346052
209	1.103277651
210	1.103220903
211	1.103115931
212	1.102916842
213	1.102870484
214	1.102722493
215	1.102683296
216	1.10263799
217	1.102512494
218	1.10247498
219	1.102355894
220	1.102327346
221	1.102290621
222	1.102256683
223	1.102233483
224	1.102189156
225	1.102122669
226	1.102041799
227	1.102006109
228	1.101937497
229	1.101882056
230	1.10176932
231	1.101701047
232	1.101641851
233	1.101489302
234	1.101415941
235	1.101337337
236	1.101280299
237	1.10121508
238	1.10115137
239	1.101062005
240	1.101004279
241	1.100946846
242	1.100852366
243	1.100755882
244	1.100720524
245	1.100562691
246	1.100506033
247	1.10042703
248	1.100338244
249	1.100243185
250	1.10016313
251	1.100091803
252	1.10002772
253	1.099957119
254	1.099919269
255	1.099862148
256	1.099837801
257	1.099760149
258	1.099712785
259	1.099640138
260	1.099578579
261	1.09948323
262	1.099442849
263	1.099384334
264	1.099336853
265	1.099257599
266	1.099200632
267	1.09916562
268	1.099066803
269	1.099032367
270	1.098942427
271	1.098872968
272	1.098800109
273	1.098744712
274	1.098653369
275	1.098598395
276	1.098536157
277	1.098494559
278	1.098475622
279	1.098426708
280	1.098401745
281	1.098352843
282	1.098295201
283	1.098245287
284	1.098160286
285	1.098112377
286	1.098038687
287	1.097982927
288	1.097948643
289	1.097923879
290	1.097827565
291	1.097732465
292	1.097684282
293	1.097620231
294	1.097535945
295	1.097496229
296	1.097475001
297	1.097417008
298	1.09735876
299	1.097317871
300	1.097165924
301	1.097054873
302	1.097020515
303	1.096988626
304	1.096945429
305	1.096905743
306	1.096876991
307	1.096834891
308	1.096741847
309	1.096707492
310	1.096642759
311	1.096604071
312	1.096565988
313	1.096521252
314	1.096485024
315	1.096390803
316	1.096284388
317	1.096207052
318	1.096153004
319	1.096069209
320	1.096001737
321	1.095943898
322	1.095893549
323	1.095846754
324	1.095818278
325	1.095789872
326	1.095757083
327	1.095722804
328	1.095697065
329	1.09563362
330	1.095590405
331	1.095518666
332	1.095455281
333	1.095369336
334	1.095358839
335	1.095315639
336	1.095277442
337	1.095258855
338	1.095156175
339	1.095059233
340	1.095030484
341	1.094993991
342	1.094982179
343	1.094936529
344	1.094873573
345	1.094831527
346	1.094776335
347	1.09473339
348	1.094652204
349	1.094582742
350	1.094546378
351	1.094509239
352	1.094500349
353	1.094473238
354	1.094437908
355	1.094391498
356	1.094340626
357	1.094253629
358	1.094222958
359	1.094181512
360	1.094113321
361	1.093989448
362	1.093957317
363	1.093911374
364	1.093859687
365	1.093823635
366	1.093788716
367	1.093761753
368	1.093716795
369	1.093661639
370	1.093631073
371	1.093524248
372	1.093481065
373	1.093433324
374	1.093365878
375	1.093266821
376	1.093244782
377	1.093138164
378	1.0931015
379	1.093073907
380	1.093042111
381	1.09302683
382	1.092979521
383	1.092918755
384	1.092897549
385	1.092858563
386	1.092827587
387	1.092749035
388	1.092714874
389	1.092687372
390	1.092616123
391	1.092549844
392	1.092488168
393	1.092460198
394	1.092406504
395	1.092355621
396	1.092299499
397	1.092268958
398	1.09221056
399	1.092174025
400	1.092151075
401	1.092117492
402	1.09207355
403	1.092037602
404	1.092014488
405	1.091975125
406	1.091942572
407	1.091915431
408	1.091870985
409	1.091850721
410	1.091805246
411	1.091710884
412	1.091635363
413	1.091584991
414	1.091547724
415	1.091504631
416	1.091462292
417	1.091384081
418	1.091359711
419	1.091320161
420	1.091280797
421	1.091230158
422	1.091161646
423	1.091126362
424	1.091102721
425	1.091073624
426	1.091031038
427	1.091004578
428	1.090966672
429	1.09093927
430	1.090890574
431	1.090859009
432	1.09081521
433	1.090766478
434	1.09069228
435	1.090678758
436	1.090652755
437	1.090609332
438	1.090586656
439	1.090559055
440	1.090513069
441	1.09048667
442	1.090431916
443	1.090406016
444	1.090358803
445	1.090307033
446	1.090259585
447	1.090207514
448	1.090151764
449	1.09008395
450	1.090048925
451	1.08999262
452	1.089952924
453	1.089926646
454	1.089862954
455	1.089839784
456	1.089732994
457	1.089682145
458	1.089628186
459	1.089567835
460	1.089544476
461	1.089482004
462	1.089460059
463	1.089414129
464	1.089349887
465	1.089330463
466	1.089291313
467	1.089231154
468	1.089183682
469	1.089149408
470	1.089128253
471	1.089089073
472	1.08905421
473	1.089040132
474	1.08898097
475	1.088930592
476	1.088874081
477	1.088850778
478	1.088834498
479	1.088782065
480	1.088717941
481	1.08867333
482	1.088650482
483	1.088589183
484	1.088526468
485	1.088462891
486	1.088425973
487	1.08838887
488	1.088361418
489	1.088331531
490	1.088241836
491	1.088165129
492	1.0881067
493	1.088050076
494	1.088006424
495	1.087965316
496	1.087914166
497	1.087850114
498	1.087776812
499	1.087738933
500	1.087717219
501	1.087649148
502	1.08755013
503	1.087518817
504	1.087487089
505	1.08744893
506	1.087407155
507	1.087342175
508	1.087294853
509	1.087265057
510	1.087242121
511	1.087218715
512	1.087197741
513	1.08717168
514	1.087139899
515	1.087103216
516	1.087086911
517	1.087050509
518	1.087030217
519	1.08696192
520	1.086926059
521	1.08689445
522	1.086863532
523	1.08683535
524	1.086791722
525	1.086737154
526	1.086722593
527	1.086669052
528	1.086605864
529	1.086569334
530	1.086508296
531	1.086468684
532	1.086393101
533	1.086319362
534	1.086293045
535	1.086234049
536	1.08621473
537	1.086182076
538	1.08614448
539	1.086098274
540	1.08606763
541	1.086041413
542	1.086003207
543	1.08594124
544	1.085910585
545	1.085868333
546	1.085834324
547	1.085810996
548	1.085783482
549	1.085732539
550	1.085697528
551	1.085618099
552	1.085579963
553	1.085550105
554	1.085524019
555	1.0854707
556	1.085430509
557	1.085353241
558	1.085297206
559	1.085237829
560	1.085195059
561	1.085161119
562	1.085108058
563	1.085076729
564	1.08504151
565	1.085017046
566	1.084974198
567	1.084924287
568	1.084898858
569	1.08486621
570	1.084828146
571	1.084808431
572	1.084779694
573	1.084737916
574	1.08468667
575	1.08466249
576	1.084645039
577	1.084610527
578	1.084596114
579	1.084574423
580	1.084498433
581	1.084445141
582	1.08438711
583	1.084349263
584	1.084298788
585	1.084284069
586	1.084233065
587	1.084215595
588	1.08418657
589	1.084137887
590	1.084096104
591	1.084081135
592	1.084023037
593	1.083983034
594	1.083958159
595	1.08392274
596	1.083895423
597	1.083864527
598	1.083834506
599	1.083802776
600	1.083778643
601	1.083756731
602	1.083712365
603	1.08367912
604	1.083653234
605	1.08363092
606	1.083602443
607	1.083590081
608	1.083575139
609	1.083562143
610	1.083504053
611	1.083465422
612	1.083442729
613	1.083419787
614	1.083342222
615	1.083317784
616	1.083299201
617	1.083276523
618	1.083244174
619	1.083219408
620	1.083188977
621	1.083156796
622	1.083134946
623	1.083106613
624	1.083065137
625	1.083040432
626	1.082996905
627	1.082955616
628	1.082940817
629	1.082926155
630	1.082887593
631	1.082847786
632	1.082825251
633	1.082809207
634	1.08278798
635	1.08275427
636	1.082716045
637	1.082700322
638	1.082658767
639	1.082615487
640	1.082596653
641	1.082572091
642	1.082529868
643	1.082491128
644	1.082458796
645	1.082430223
646	1.082390291
647	1.082342247
648	1.082328659
649	1.082241919
650	1.082185707
651	1.08215582
652	1.082101407
653	1.082064912
654	1.082041741
655	1.082022329
656	1.081976076
657	1.081942774
658	1.081908003
659	1.081867654
660	1.081838819
661	1.081800681
662	1.081769237
663	1.08173591
664	1.081716867
665	1.081694477
666	1.081680999
667	1.081624693
668	1.081603327
669	1.081574987
670	1.081538971
671	1.081515511
672	1.081489221
673	1.081432176
674	1.081414682
675	1.08138122
676	1.08135225
677	1.081327653
678	1.081296828
679	1.081273121
680	1.081229517
681	1.081161442
682	1.081129738
683	1.081115858
684	1.081046303
685	1.081022077
686	1.080994161
687	1.080959803
688	1.080949365
689	1.080910598
690	1.08087808
691	1.080844663
692	1.080807521
693	1.080766795
694	1.08073187
695	1.080707943
696	1.080695965
697	1.080639459
698	1.080603901
699	1.080590377
700	1.080564553
701	1.080556678
702	1.080515545
703	1.080495746
704	1.080448243
705	1.08037306
706	1.080331226
707	1.080268776
708	1.080213199
709	1.08018097
710	1.080166224
711	1.080145965
712	1.080113852
713	1.080099819
714	1.080070987
715	1.080048742
716	1.080034043
717	1.080012703
718	1.079973009
719	1.07993901
720	1.079889128
721	1.079865679
722	1.079839706
723	1.079809932
724	1.079773144
725	1.079729484
726	1.079704398
727	1.079689762
728	1.079669741
729	1.079654801
730	1.079612094
731	1.079579347
732	1.079556154
733	1.079541045
734	1.079515442
735	1.079491964
736	1.079458092
737	1.079407477
738	1.07937753
739	1.079353105
740	1.079338005
741	1.07927738
742	1.079224005
743	1.079191678
744	1.079165486
745	1.07914029
746	1.079063149
747	1.079033203
748	1.079002081
749	1.078997342
750	1.07898496
751	1.078934373
752	1.078910139
753	1.078873649
754	1.078863908
755	1.078814804
756	1.078766851
757	1.078721056
758	1.078682972
759	1.078670477
760	1.078659001
761	1.07863065
762	1.078606796
763	1.078573947
764	1.078503015
765	1.078474076
766	1.078457283
767	1.0784303
768	1.078408215
769	1.078398498
770	1.078360386
771	1.078341033
772	1.078316526
773	1.078273398
774	1.078260806
775	1.078250356
776	1.078216885
777	1.078208392
778	1.078183231
779	1.078169479
780	1.078148446
781	1.07813869
782	1.078116433
783	1.078098616
784	1.078060288
785	1.078039607
786	1.078019834
787	1.077992853
788	1.077966708
789	1.077953428
790	1.077930537
791	1.077827885
792	1.077771014
793	1.077753007
794	1.07774128
795	1.077688407
796	1.077658439
797	1.077633873
798	1.077614777
799	1.07756405
800	1.077550277
801	1.077530319
802	1.077506822
803	1.077476277
804	1.077458361
805	1.077425222
806	1.077411572
807	1.077380806
808	1.077340124
809	1.07730762
810	1.077288565
811	1.077257144
812	1.077232082
813	1.077209447
814	1.077190888
815	1.077178472
816	1.077158541
817	1.077130533
818	1.077117419
819	1.077099678
820	1.0770753
821	1.077025805
822	1.076969189
823	1.076957054
824	1.076942347
825	1.076932589
826	1.076920331
827	1.076903462
828	1.076870394
829	1.076845435
830	1.076824328
831	1.076778107
832	1.076750455
833	1.076734418
834	1.07671052
835	1.076691564
836	1.076646448
837	1.076614796
838	1.076571108
839	1.076550499
840	1.076526123
841	1.076488686
842	1.07643407
843	1.076404954
844	1.076377951
845	1.076363706
846	1.076329746
847	1.076305984
848	1.076295914
849	1.076271717
850	1.076254478
851	1.076232999
852	1.076214214
853	1.076187174
854	1.076146625
855	1.076120143
856	1.076108225
857	1.076081425
858	1.076054706
859	1.076035978
860	1.076000192
861	1.075968861
862	1.075928141
863	1.075895488
864	1.075862001
865	1.075835891
866	1.075819901
867	1.075777643
868	1.075745517
869	1.075721915
870	1.075702794
871	1.075677591
872	1.075621691
873	1.075586731
874	1.075531728
875	1.075509086
876	1.075464748
877	1.075404821
878	1.075380615
879	1.07535467
880	1.075329052
881	1.075258752
882	1.07521372
883	1.075201821
884	1.075193011
885	1.075173275
886	1.075134887
887	1.07508867
888	1.075039723
889	1.075018422
890	1.074999638
891	1.074965685
892	1.074936538
893	1.074921125
894	1.07487236
895	1.074850536
896	1.074837662
897	1.074818555
898	1.074763568
899	1.074743448
900	1.074724404
901	1.074703132
902	1.074632802
903	1.074618496
904	1.074597604
905	1.074578994
906	1.074541766
907	1.074501565
908	1.074471197
909	1.074456794
910	1.074408546
911	1.074387568
912	1.07435656
913	1.074342532
914	1.07432797
915	1.07431382
916	1.074280646
917	1.074256883
918	1.074228789
919	1.074201615
920	1.074188353
921	1.07412573
922	1.074107102
923	1.074087832
924	1.07405918
925	1.074034277
926	1.074022219
927	1.074009773
928	1.073967205
929	1.073918252
930	1.07390055
931	1.073864844
932	1.073848375
933	1.073815812
934	1.073791739
935	1.073779996
936	1.073758674
937	1.073737489
938	1.073703521
939	1.073661019
940	1.073615705
941	1.073600444
942	1.073581501
943	1.073563678
944	1.073528611
945	1.073514642
946	1.073499386
947	1.073470849
948	1.073426722
949	1.073394494
950	1.073366092
951	1.073338674
952	1.073318246
953	1.073298744
954	1.073269974
955	1.073246458
956	1.073219681
957	1.073197248
958	1.073163397
959	1.073106386
960	1.073084639
961	1.073062156
962	1.07301971
963	1.072994626
964	1.072979843
965	1.07295187
966	1.072918177
967	1.072886817
968	1.072843682
969	1.072797074
970	1.072769131
971	1.072745164
972	1.072720445
973	1.07269898
974	1.072680659
975	1.072660893
976	1.072648203
977	1.072600339
978	1.072576056
979	1.072547958
980	1.072513057
981	1.072495815
982	1.072474569
983	1.072460312
984	1.0724389
985	1.0724032
986	1.072385219
987	1.072365536
988	1.072342277
989	1.072288385
990	1.072267233
991	1.07224656
992	1.072223915
993	1.072197611
994	1.072177043
995	1.072164167
996	1.072139277
997	1.072114474
998	1.072082625
999	1.072027458
