iter	Passed	Remaining
399	47761	71642
400	47932	71600
401	48091	71538
402	48381	71672
403	48554	71629
404	48684	71523
405	48848	71467
406	49009	71407
407	49120	71272
408	49283	71214
409	49436	71140
410	49552	71012
411	49748	70999
412	49996	71059
413	50155	70993
414	50338	70959
415	50524	70928
416	50656	70822
417	50794	70723
418	50944	70641
419	51073	70529
420	51180	70388
421	51295	70257
422	51407	70122
423	51515	69983
424	51629	69852
425	51743	69720
426	51855	69585
427	51984	69474
428	52120	69373
429	52253	69266
430	52377	69147
431	52507	69038
432	52630	68918
433	52741	68782
434	52859	68656
435	52962	68511
436	53078	68383
437	53188	68246
438	53297	68109
439	53416	67984
440	53574	67910
441	53717	67815
442	53831	67684
443	53932	67536
444	54034	67391
445	54162	67277
446	54276	67147
447	54400	67028
448	54518	66903
449	54648	66793
450	54789	66694
451	54906	66567
452	55018	66434
453	55119	66288
454	55232	66157
455	55347	66028
456	55462	65899
457	55574	65767
458	55694	65644
459	55819	65527
460	55927	65390
461	56036	65254
462	56138	65111
463	56256	64985
464	56360	64844
465	56493	64737
466	56598	64597
467	56702	64456
468	56816	64327
469	56955	64226
470	57080	64109
471	57207	63994
472	57342	63888
473	57471	63776
474	57587	63648
475	57723	63544
476	57865	63445
477	57995	63333
478	58114	63210
479	58281	63137
480	58385	62998
481	58497	62866
482	58634	62762
483	58760	62645
484	58907	62551
485	59053	62455
486	59170	62329
487	59266	62181
488	59366	62037
489	59461	61888
490	59589	61773
491	59708	61650
492	59833	61532
493	59947	61403
494	60044	61257
495	60162	61133
496	60284	61012
497	60388	60873
498	60507	60750
499	60616	60616
500	60713	60471
501	60821	60336
502	60922	60196
503	61049	60080
504	61154	59943
505	61248	59795
506	61373	59678
507	61481	59545
508	61585	59407
509	61678	59259
510	61775	59115
511	61873	58973
512	61972	58831
513	62067	58686
514	62181	58559
515	62276	58414
516	62414	58309
517	62531	58185
518	62667	58079
519	62790	57960
520	62915	57843
521	63048	57734
522	63162	57607
523	63285	57488
524	63430	57389
525	63545	57263
526	63664	57141
527	63788	57023
528	63907	56900
529	64014	56767
530	64160	56668
531	64265	56534
532	64399	56425
533	64534	56316
534	64657	56197
535	64790	56087
536	64888	55947
537	65000	55817
538	65120	55696
539	65211	55550
540	65305	55407
541	65402	55266
542	65527	55149
543	65637	55019
544	65788	54923
545	65954	54840
546	66093	54735
547	66231	54629
548	66341	54499
549	66470	54384
550	66594	54266
551	66713	54144
552	66826	54016
553	66921	53875
554	67032	53746
555	67146	53620
556	67255	53490
557	67374	53367
558	67495	53248
559	67617	53127
560	67727	52999
561	67835	52868
562	67958	52749
563	68067	52619
564	68193	52503
565	68292	52365
566	68400	52235
567	68519	52113
568	68629	51984
569	68754	51867
570	68856	51733
571	68956	51596
572	69105	51497
573	69223	51375
574	69363	51268
575	69540	51189
576	69672	51076
577	69782	50948
578	69899	50825
579	70021	50705
580	70195	50622
581	70353	50528
582	70529	50447
583	70686	50352
584	70832	50249
585	70990	50153
586	71137	50051
587	71293	49953
588	71401	49823
589	71508	49692
590	71626	49568
591	71730	49436
592	71845	49310
593	71942	49172
594	72047	49040
595	72159	48913
596	72251	48772
597	72346	48634
598	72457	48506
599	72556	48371
600	72650	48231
601	72750	48097
602	72861	47969
603	73002	47862
604	73127	47744
605	73239	47618
606	73331	47477
607	73442	47351
608	73556	47226
609	73651	47088
610	73749	46953
611	73870	46832
612	73979	46705
613	74081	46572
614	74189	46443
615	74293	46312
616	74387	46175
617	74488	46043
618	74587	45909
619	74691	45778
620	74793	45646
621	74902	45519
622	75003	45387
623	75119	45264
624	75242	45145
625	75362	45025
626	75479	44902
627	75593	44778
628	75715	44658
629	75882	44566
630	76016	44453
631	76144	44337
632	76307	44241
633	76424	44118
634	76559	44006
635	76682	43887
636	76788	43758
637	76894	43629
638	77021	43512
